Date and Time Created,User Name,Tweet for covid,Response
2020-04-30 05:29,Wajdi_rokhibi,Satu family aku gangster . Gangster boleh lawan covid tak . Dah bosan dok rumah ni haha https://twitter.com/muha4a/status/1254890149273460736 …,1
2020-04-30 05:28,omeroguzhannn,Covid polde çalışan birine göre fazla iyimser gördüm seni,0
2020-04-30 05:28,piahontiveros,Summer blooms (Covid or no Covid) pic.twitter.com/8KJvcUKjjK,0
2020-04-30 05:28,farisfakh,"Ayuk, mukai sekarang sebarkan berita positif supaya tidak menjadi beban pikiran ke orang lain. Covid-19 itu ada dan nyata. Jadi, bedakan 'fear' dan 'aware'. Tetap waspada dan jangan terlalu takut. # matikanTV # kuatkitabersinar",1
2020-04-30 05:27,demirtuning2,Şimdi bugün 3 günlük evde kalcaz curcunayi izle sanki bir ay evde kalcaz gibi alışveriş yapanlar olacak. # Covid_19 # istanbulsozlesmesi # Persembe,0
2020-04-30 05:26,UMS_EcoCampus,Ikuti secara langsung bersama Profesor Madya Dr. Jidon @Adrian Janaun tentang topik 'Perkongsian Inovasi Komersial dan Inovasi untuk COVID-19' Tarikh : 30 April 2020 Masa : 12:00 tengah hari Facebook : @ UMS.official # UMSKampusRahmah # covid_19 # UMSAprilPostpic.twitter.com/5kUMtdwbej,0
2020-04-30 05:26,Enesuur29859068,Kesin Şu # Covid_19 Bitecek Uzaylılar Dünyayı Esir Alacak Aq,0
2020-04-30 05:24,JJamesMcL,COVID-19: Melatonin as a potential adjuvant treatment https://www.sciencedirect.com/science/article/pii/S0024320520303313 …,0
2020-04-30 05:21,NeniHol,Kesian Menteri BD baru pegang jawatan kena tangani musibah Covid 19,0
2020-04-30 05:21,panasabila,"Iyaaa sih uss, pasti harus ada langkah efisiensi buat survive kalau memang bisnis perusahaannya kena imbas covid, semangaaaat gaesss para budak korporatkuuu!!!",0
